,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,norm,name
48,rbf,-0.032715584800519455,100.0,0.1,0.1,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
49,rbf,0.03474859834680119,50.0,0.001,1.0,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
50,rbf,0.03274629346807918,1.0,0.01,0.001,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
51,rbf,-0.032715584800519455,10.0,0.1,1.0,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
52,rbf,-0.09492238425382447,50.0,0.001,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
53,rbf,0.2261765002242825,1.0,1.0,1.0,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
54,rbf,0.012547499726271833,1.0,0.1,1.0,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
55,rbf,0.0347440912511262,10.0,0.01,1.0,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
56,rbf,-0.09970396391465322,10.0,0.5,0.001,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
57,rbf,-0.0433169606800542,10.0,0.3,0.3,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
58,rbf,-0.053711219816011936,100.0,0.01,0.01,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
59,rbf,-0.052517276460793266,10.0,0.3,1.0,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
60,rbf,-0.09427083052037863,50.0,0.5,0.001,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
61,rbf,-0.01768768671905376,50.0,1.0,0.3,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
62,rbf,-0.05371919132220849,10.0,0.001,0.1,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
63,rbf,0.03476669002365422,100.0,0.3,0.001,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
64,rbf,0.033326034012842,50.0,0.5,0.5,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
65,rbf,-0.04929882868471118,1.0,0.3,0.1,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
66,rbf,-0.057303821697689876,10.0,1.0,0.5,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
67,rbf,0.03474859847317218,100.0,0.001,0.1,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
68,rbf,-0.09490549450495839,100.0,0.01,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
69,rbf,-0.07277278970757738,100.0,0.3,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
70,rbf,0.033326299590839735,10.0,0.5,0.001,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
71,rbf,0.004404685068746782,1.0,1.0,0.5,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
72,rbf,-0.053711219852152985,100.0,0.01,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
73,rbf,0.034516633079713636,100.0,0.1,0.1,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
74,rbf,0.17191465739682307,50.0,1.0,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
75,rbf,0.032746436071490484,50.0,0.3,0.01,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
76,rbf,-0.09490549442960719,1.0,0.01,0.5,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
77,rbf,-0.05105212642643445,1.0,0.01,0.01,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
78,rbf,-0.07277288556388091,50.0,0.5,0.3,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
79,rbf,-0.05375153754748899,100.0,0.001,0.001,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
80,rbf,-0.09498869217676038,10.0,0.001,0.3,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
81,rbf,-0.03271558755519641,100.0,0.1,0.1,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
82,rbf,0.03332603094688154,100.0,0.5,1.0,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
83,rbf,0.034744091524403366,10.0,0.01,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
84,rbf,-0.09414347376100038,1.0,0.1,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
85,rbf,0.0814388823358137,50.0,0.5,0.3,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
86,rbf,-0.05730366750227921,10.0,0.5,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
87,rbf,-0.08606178762572654,10.0,1.0,0.5,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
88,rbf,-0.0949054943835559,10.0,0.01,0.1,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
89,rbf,-0.0949223809829398,100.0,0.001,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
90,rbf,-0.053445626181506105,100.0,0.001,0.001,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
91,rbf,0.038239366193732305,10.0,0.3,1.0,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
92,rbf,-0.05730367003053522,1.0,0.5,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
93,rbf,-0.04961204239763681,10.0,1.0,1.0,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
94,rbf,0.03274636390243619,50.0,0.01,0.3,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
95,rbf,0.02741735069832009,1.0,0.3,1.0,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
96,rbf,-0.05375153598700892,100.0,0.001,1.0,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
97,rbf,-0.05375153598195969,1.0,0.001,0.3,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
98,rbf,0.03451663310685876,10.0,0.1,0.1,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
99,rbf,0.027417361253560073,1.0,0.3,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
100,rbf,-0.09498869206382077,10.0,0.001,1.0,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
101,rbf,-0.032715584800519455,1.0,0.1,0.1,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
102,rbf,0.034562251222954664,1.0,0.01,0.5,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
103,rbf,0.0345622663826913,100.0,0.01,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
104,rbf,-0.09236458666469365,1.0,0.3,0.01,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
105,rbf,-0.050420825039007994,100.0,0.1,0.01,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
106,rbf,-0.017687686227788584,10.0,1.0,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
107,rbf,-0.09065647871188101,50.0,0.5,1.0,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
108,rbf,-0.051052120161030626,100.0,0.01,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
109,rbf,-0.0533828773667345,100.0,0.3,0.01,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
110,rbf,-0.05042082606957049,1.0,0.1,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
111,rbf,-0.0573036662464383,100.0,0.5,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
112,rbf,-0.09065648469050176,10.0,0.5,0.01,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
113,rbf,-0.09440612779440706,100.0,0.001,0.01,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
114,rbf,0.033843183332423685,100.0,0.3,0.5,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
115,rbf,0.00440543892937208,100.0,1.0,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
116,rbf,-0.09065647709957131,1.0,0.5,0.3,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
117,rbf,-0.024252200194006503,100.0,0.1,1.0,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
118,rbf,-0.053719193610071506,10.0,0.001,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
