,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,name
55,rbf,-0.12213187499283977,10,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
56,rbf,-0.051263128015799395,10,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
57,rbf,-0.2183354536202978,100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
58,rbf,-0.18049085353072766,1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
59,rbf,-0.03738449711211189,1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
60,rbf,-0.07004745397814757,1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
61,rbf,0.01231556191861416,1,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
62,rbf,-0.06260474023534499,100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
63,rbf,-0.04394678808717374,100,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
64,rbf,0.0002544321236960023,1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
65,rbf,-0.0648551419096195,1,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
66,rbf,-0.06859235049103948,100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
67,rbf,-0.009890811612189632,10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
68,rbf,-0.060940793671897864,10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
69,rbf,-0.009890811612189632,1,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
70,rbf,-0.06871403043458754,10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
71,rbf,0.019881338895644297,100,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
72,rbf,0.05399624019477049,1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
73,rbf,-0.033547678860559496,100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
74,rbf,-0.03243088663897407,10,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
75,rbf,-0.07033081702861074,100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
76,rbf,-0.08124295692202485,1,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
77,rbf,-0.03355564696582718,10,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
78,rbf,-0.07166479754189467,10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
79,rbf,0.013808202292444971,1,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
80,rbf,-0.07181654103262211,10,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
81,rbf,0.0004648486933241269,100,0.1,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
82,rbf,-0.13266078825102331,100,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
83,rbf,-0.12112681246533927,100,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
84,rbf,-0.009890811612189632,100,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
85,rbf,-0.07185562287482702,100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
86,rbf,-0.07646304288291425,1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
87,rbf,0.020611281587550455,100,1.0,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
88,rbf,-0.009890811612189632,10,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
89,rbf,-0.058721315551691466,10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
90,rbf,-0.03362817072267173,1,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
91,rbf,0.05131175935712311,10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
92,rbf,-0.03374055972907786,10,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
93,rbf,-0.10670008819800489,100,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
94,rbf,-0.08543564260652767,100,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
95,rbf,-0.04364252606235275,1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
96,rbf,-0.16080012817978848,100,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
97,rbf,-0.03243088663897407,10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
98,rbf,-0.1296863089978681,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
99,rbf,-0.009890811612189632,1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
100,rbf,-0.03325559397425715,1,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
101,rbf,-0.009890811612189632,100,0.01,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
102,rbf,-0.09360220322773946,1,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
103,rbf,-0.08039521009316657,100,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
104,rbf,-0.06672973987421435,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
105,rbf,-0.03243088663897407,100,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
106,rbf,-0.07754097388355455,100,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
107,rbf,-0.06467848486346157,1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
108,rbf,-0.2176611194875222,10,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
109,rbf,-0.10317735788501622,1,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
110,rbf,-0.09084666580619324,10,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
111,rbf,-0.21562082208986544,10,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
112,rbf,-0.06881428170304979,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
113,rbf,-0.0882812742523412,100,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
114,rbf,-0.030145837015692047,1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
115,rbf,-0.07026169992841066,1,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
116,rbf,-0.0706460327973055,1,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
117,rbf,-0.10787881157884524,1,0.01,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
118,rbf,-0.10293672276882235,10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
119,rbf,-0.10810395065980946,10,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
120,rbf,-0.17786261359382824,100,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
121,rbf,-0.03243088663897407,100,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
122,rbf,-0.0713221792603432,1,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
123,rbf,-0.0769991631837735,10,0.1,0.1,100,art.attacks.evasion.ProjectedGradientDescent
124,rbf,-0.07167376264827427,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
125,rbf,-0.12130309781452572,1,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
126,rbf,-0.07575970580465094,10,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
127,rbf,-0.12821418232632806,100,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
128,rbf,-0.09887913175928473,10,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
129,rbf,-0.029754699909666192,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
130,rbf,-0.04367035300641642,10,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
131,rbf,-0.04901453872071211,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
132,rbf,-0.05178292773586755,100,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
133,rbf,-0.0608585339630078,100,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
134,rbf,-0.022742867899607732,10,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
135,rbf,-0.05482089247979416,1,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
136,rbf,-0.060084806514527925,100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
137,rbf,-0.0691143095558762,100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
138,rbf,0.2364851798596467,10,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
139,rbf,-0.0670221240447749,1,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
140,rbf,-0.06877052315215634,100,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
141,rbf,-0.06882886498483458,1,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
