,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,max_iter,name
54,rbf,-0.4179764449836578,1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
55,rbf,-0.4315352901833965,10,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
56,rbf,-0.4264198785313442,10,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
57,rbf,-0.4359861101068544,100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
58,rbf,-0.4315606462813962,1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
59,rbf,-0.42593508669223323,1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
60,rbf,-0.43183623076539696,1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
61,rbf,-0.41775826696008617,1,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
62,rbf,-0.4278315577972184,100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
63,rbf,-0.42150728959243866,100,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
64,rbf,-0.1504327286359133,1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
65,rbf,-0.4319094127519108,1,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
66,rbf,-0.43151688692782436,100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
67,rbf,-0.4235466357821781,10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
68,rbf,-0.4280422564735871,10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
69,rbf,-0.4235466357821781,1,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
70,rbf,-0.42847495212808245,10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
71,rbf,-0.4163666989202804,100,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
72,rbf,-0.4086174464017461,1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
73,rbf,-0.42200239565330283,100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
74,rbf,-0.4263812866546005,10,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
75,rbf,-0.4318583846996739,100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
76,rbf,-0.4300414710041975,1,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
77,rbf,-0.4240889932630044,10,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
78,rbf,-0.43207647140884603,10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
79,rbf,-0.41752516415686614,1,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
80,rbf,-0.427779035650894,10,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
81,rbf,-0.41954705741015785,100,0.1,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
82,rbf,-0.43178036063193614,100,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
83,rbf,-0.4341204276165916,100,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
84,rbf,-0.4235466357821781,100,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
85,rbf,-0.42779911030363826,100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
86,rbf,-0.42958482048444807,1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
87,rbf,-0.413686116114373,100,1.0,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
88,rbf,-0.4235466357821781,10,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
89,rbf,-0.4260680836633165,10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
90,rbf,-0.42411507401911824,1,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
91,rbf,-0.4092199617712115,10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
92,rbf,-0.4245593483574065,10,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
93,rbf,-0.4318615931357593,100,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
94,rbf,-0.42953375519815895,100,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
95,rbf,-0.4213702028852711,1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
96,rbf,-0.43386629869974513,100,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
97,rbf,-0.4263812866546005,10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
98,rbf,-0.4312250850965076,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
99,rbf,-0.4235466357821781,1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
100,rbf,-0.4249988150210585,1,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
101,rbf,-0.4235466357821781,100,0.01,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
102,rbf,-0.43419636114377114,1,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
103,rbf,-0.4298638813724988,100,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
104,rbf,-0.4313100371742255,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
105,rbf,-0.4263812866546005,100,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
106,rbf,-0.43117715111707783,100,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
107,rbf,-0.4282545434651855,1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
108,rbf,-0.43596609878315573,10,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
109,rbf,-0.43166354341086044,1,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
110,rbf,-0.43434624667575067,10,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
111,rbf,-0.4370289428619843,10,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
112,rbf,-0.4317359517271829,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
113,rbf,-0.4337841890481333,100,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
114,rbf,-0.42368569112117904,1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
115,rbf,-0.43185298563622637,1,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
116,rbf,-0.4271431009219047,1,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
117,rbf,-0.43278667562856543,1,0.01,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
118,rbf,-0.4293112399857298,10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
119,rbf,-0.4328082445018529,10,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
120,rbf,-0.4314382345289011,100,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
121,rbf,-0.4263812866546005,100,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
122,rbf,-0.42770753629412284,1,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
123,rbf,-0.42877491854507077,10,0.1,0.1,100,art.attacks.evasion.ProjectedGradientDescent
124,rbf,-0.432077734002174,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
125,rbf,-0.43412969525026285,1,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
126,rbf,-0.42843290889383207,10,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
127,rbf,-0.4312572504725907,100,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
128,rbf,-0.43119986201228466,10,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
129,rbf,-0.42438476510153217,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
130,rbf,-0.42138280119877075,10,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
131,rbf,-0.4258017479891389,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
132,rbf,-0.4272471208706923,100,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
133,rbf,-0.42834683007632945,100,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
134,rbf,-0.4247527669525056,10,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
135,rbf,-0.42898809146793954,1,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
136,rbf,-0.4280601577534969,100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
137,rbf,-0.4285191885402637,100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
138,rbf,-0.39761719125417044,10,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
139,rbf,-0.4285216421259765,1,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
140,rbf,-0.4316993948563319,100,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
141,rbf,-0.4284898068018644,1,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
142,rbf,-0.2051789296019772,10,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
143,rbf,-0.42969123796987474,1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
144,rbf,-0.29509264437395843,100,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
145,rbf,-0.4237609059136166,10,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
146,rbf,-0.428056970122424,1,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
147,rbf,-0.43376234426788685,100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
148,rbf,-0.4303338033835211,10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
149,rbf,-0.431825406361918,100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
150,rbf,-0.4126990949796848,10,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
151,rbf,-0.428475202396613,1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
152,rbf,-0.43282970420655653,100,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
153,rbf,-0.43367415007241195,100,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
154,rbf,-0.409156409767489,10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
