,data.generate.class_sep,data.generate.n_classes,data.generate.n_features,data.generate.n_informative,data.generate.n_redundant,data.generate.n_repeated,data.generate.n_samples,data.name,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.time_series,data.sample.train_size,model.init.C,model.init.coef0,model.init.degree,model.init.kernel,model.init.max_iter,model.init.name,model.init.probability,scorers.accuracy.name,scorers.accuracy.normalize,scorers.f1.average,scorers.f1.name,scorers.precision.average,scorers.precision.name,scorers.recall.average,scorers.recall.name,files.attack_file,files.attack_predictions_file,files.attack_probabilities_file,files.attack_samples_file,files.attack_score_dict_file,files.attack_time_dict_file,files.data_file,files.ground_truth_file,files.model_file,files.params_file,files.path,files.predictions_file,files.probabilities_file,files.reports,files.score_dict_file,files.time_dict_file,accuracy,f1,precision,recall,fit_time,predict_time,proba_time,model.init.gamma,model.sklearn_pipeline.feature_selection.name,model.sklearn_pipeline.feature_selection.with_mean,model.sklearn_pipeline.feature_selection.with_std,attack.init.name,attack.init.eps,attack.init.eps_step,attack.init.max_iter,attack.init.batch_size,attack.generate.attack_size,files.samples_file,attack_fit_time,attack_predict_time,attack_proba_time,model.art_pipeline.trainer_defence.name,model.art_pipeline.trainer_defence.ratio,Kernel,Features,Samples,input_size
0,1,2,10,9,0,0,101000,['classification'],42,True,True,1000,True,100,0.0001,1000.0,5,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/ec0e70f7e9639ecdbbd1cf97ef1bf9d0.pickle,ground_truth.json,model_queue/model/bc5c4a4f51f1304d1fbccfb0d50d9b69.pickle,params.json,reports/model_queue/32e86ab3aacb4c69d87b490f52bcea98,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5687187187,0.5689062082,0.5696101348,0.5687187187,5.86211299992101e-05,2.0780915315310735e-06,2.3304431131129952e-06,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1010000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,100,0.1,1000.0,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/5048c8b0cfeb3c18600b08a0325b238b.pickle,ground_truth.json,model_queue/model/3b62ce0454716f08d3dec6f93fcb43c4.pickle,params.json,reports/model_queue/a981e9c9f8c4851a18db6fbe09834b01,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.7638119312,0.7646920483,0.7712312719,0.7638119312,2.4264510000193695e-05,1.8861209605657907e-06,2.0912870879676535e-06,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1000000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,10000,1.0,1.0,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/2466a5a7f13dbeb921b6a3feee0dc649.pickle,ground_truth.json,model_queue/model/a7a99fa71a67bd1b8f5752d61cba2e44.pickle,params.json,reports/model_queue/54cb628971628ff5432824d1774ce30b,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5044157303,0.6601880251,0.982259641,0.5044157303,0.0003185076772999309,4.621424839326741e-05,4.360724899998694e-05,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,10000,1000000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,10000,0.1,100000.0,1,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/2466a5a7f13dbeb921b6a3feee0dc649.pickle,ground_truth.json,model_queue/model/e34fa78b2b01a8d368140ac320138f65.pickle,params.json,reports/model_queue/4bd7d265d56f8d27b6174084be4d3693,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.559258427,0.6564294221,0.9201522069,0.559258427,0.0003134808018001422,4.039319896628002e-05,4.12113339775255e-05,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,10000,1000000
0,1,2,100,99,0,0,101000,classification,42,True,True,1000,True,10000,100.0,0.1,5,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/01eb33708d8ad0489445fc64abfc06d9.npz,ground_truth.json,models/53fc88f9245665fe924b1e4f56cad2ee.pkl,params.json,reports/train/c5ec6b642c1c401ce32947f625ee9680,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.42,0.5915492958,1.0,0.42,0.0005332855196999844,9.104445000048145e-05,8.38532399984615e-05,,,,,,,,,,,,,,,,,poly,100,10000,10100000
0,1,2,10,9,0,0,100000,['classification'],42,True,True,1000,True,100,100.0,10.0,1,rbf,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/5048c8b0cfeb3c18600b08a0325b238b.pickle,ground_truth.json,model_queue/model/138c375a33632b7c3f538a14236bb97d.pickle,params.json,reports/model_queue/36a773af7b3f640a4a9488e4ab1b3a92,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.8223559151,0.8226258076,0.8253859908,0.8223559151,3.524541999979647e-05,2.994488351870551e-06,3.2119559959551525e-06,auto,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,rbf,10,100,1000000
0,1,2,10,9,0,0,101000,['classification'],42,True,True,1000,True,100,1.0,0.0001,5,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/ec0e70f7e9639ecdbbd1cf97ef1bf9d0.pickle,ground_truth.json,model_queue/model/cd7eb0b301cd0ed19ae933d321eebf58.pickle,params.json,reports/model_queue/a5580967513cc391d846dca36ca4fb95,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.7261061061,0.7367345671,0.8010894611,0.7261061061,2.8104310000003353e-05,2.1531906706705704e-06,2.346857727727408e-06,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,10,100,1010000
0,1,2,10,9,0,0,101000,classification,42,True,True,1000,True,10000,10000.0,0.1,2,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/581107a2ee32dfca25b871561269b320.npz,ground_truth.json,models/fe86f9a9fa1cf8f994294fdac09632b6.pkl,params.json,reports/train/bbf9494e0a6fefe0c70b87c5358ffe92,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5932777778,0.613813798,0.6893696057,0.5932777778,0.0001659797719999915,1.9071091311111054e-05,1.9775402444444506e-05,,,,,,,,,,,,,,,,,poly,10,10000,1010000
0,1,2,100,99,0,0,101000,['classification'],42,True,True,1000,True,100,0.1,0.01,3,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,,,,,,,model_queue/data/b4fad09373e308a474653d4a60f39244.pickle,ground_truth.json,model_queue/model/3c1227c182ecbae5146550dddedd408c.pickle,params.json,reports/model_queue/01791ca67a5a5018a5dd1ef755a739d4,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.4996096096,0.6663195626,1.0,0.4996096096,4.117392000011933e-05,4.961106786787433e-06,4.990205695695441e-06,scale,sklearn.preprocessing.StandardScaler,True,True,art.attacks.evasion.ProjectedGradientDescent,0.01,0.001,1.0,32.0,100.0,samples.json,,,,,,poly,100,100,10100000
0,1,2,100,99,0,0,110000,classification,42,True,True,1000,True,100000,0.0001,1000.0,3,poly,1000,sklearn.svm.SVC,True,sklearn.metrics.accuracy_score,True,weighted,sklearn.metrics.f1_score,weighted,sklearn.metrics.precision_score,weighted,sklearn.metrics.recall_score,attack/6bc16f621427375278e59654f3d997f3.pkl,attack_predictions.json,attack_probabilities.json,samples.json,attack_scores.json,attack_time_dict.json,data/42871f8d8f378f7ecf95fd9e760de151.npz,ground_truth.json,models/434c30e82eadf49494f3ae35e5cb16c9.pkl,params.json,reports/train/4877608e370363cbf06aae53c2ab9b53,predictions.json,probabilities.json,reports,scores.json,time_dict.json,0.5324444444,0.53250255,0.5326326298,0.5324444444,0.0019031420599800186,8.183188877754017e-05,8.643155544430353e-05,,,,,,,,,,,,,,,,,poly,100,100000,11000000
