,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,norm,name,max_iter
57,rbf,0.4495808043190902,10.0,0.1,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,
58,rbf,0.45141258222150427,1.0,0.001,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,
59,rbf,0.31655153079772735,50.0,0.3,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
60,rbf,0.3355779000098583,1.0,0.1,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,
61,rbf,0.19379784921191975,10.0,0.5,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
62,rbf,0.2535968321297297,10.0,0.3,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
63,rbf,0.44117873264800656,50.0,0.5,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,
64,rbf,0.20750039873182638,100.0,0.1,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,
65,rbf,0.0252920874353691,10.0,0.001,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,
66,rbf,0.2411213110177209,100.0,0.3,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
67,rbf,-0.2822596624774335,10.0,1.0,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,
68,rbf,0.0252920874353691,100.0,0.001,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
69,rbf,0.30908354228150403,10.0,0.5,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
70,rbf,0.4514125822215419,50.0,0.001,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,
71,rbf,0.4514125822215419,100.0,0.001,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,
72,rbf,0.44554037134327446,1.0,0.3,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,
73,rbf,0.1303502027309315,10.0,0.5,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
74,rbf,0.06711024657026168,100.0,1.0,0.001,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
75,rbf,0.2869447418260169,10.0,0.001,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
76,rbf,0.19379785789214682,10.0,0.5,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,
77,rbf,0.28694474175356016,50.0,0.001,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
78,rbf,0.3090727574669333,50.0,0.1,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,
79,rbf,0.20764337677143443,10.0,1.0,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
80,rbf,0.20773632105760015,100.0,0.001,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
81,rbf,0.1568182958153507,10.0,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
82,rbf,0.2763442972509575,100.0,0.1,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
83,rbf,-0.27248280819742454,1.0,1.0,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,
84,rbf,0.025934403637345844,100.0,0.01,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
85,rbf,-0.13127847069860457,1.0,1.0,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
86,rbf,0.29238618868656213,50.0,1.0,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
